Column2;Column3;Column4
0.101687;-0.008615;-0.003856
0.125264;0.031863;-0.048799
0.104018;-0.021630;0.005231
0.114357;-0.143071;-0.124037
0.015795;-0.187743;-0.182650
-0.063957;-0.219632;-0.144256
-0.053630;-0.319980;-0.122999
-0.022582;-0.243949;-0.049598
0.050236;-0.306928;0.041758
0.080881;-0.145948;0.115830
0.036357;-0.220552;0.145894
-0.026409;-0.173417;0.167065
0.056309;-0.066406;0.078254
-0.152119;-0.104659;0.171191
-0.168848;0.037008;0.002106
0.024077;0.098183;0.013958
-0.039470;0.077395;-0.028866
-0.057194;0.158089;-0.018278
-0.017309;0.060417;0.058504
-0.071989;0.092715;0.023742
-0.073533;-0.111017;0.015857
-0.027563;-0.029409;0.030833
0.104653;-0.082549;-0.058478
0.059617;-0.050434;0.019152
0.077908;-0.078202;-0.167088
0.105056;-0.138224;-0.112630
-0.022033;-0.057359;-0.084367
0.006842;-0.042906;-0.105795
0.100149;0.056827;0.025951
0.153723;-0.055689;-0.111648
0.157782;0.018519;-0.035445
-0.027660;0.054297;-0.010832
-0.187316;-0.012352;-0.013377
-0.095846;0.056388;-0.011174
-0.025335;0.065776;-0.004918
0.046073;0.051913;0.010645
0.129048;0.083308;0.036485
0.108535;0.062557;0.026848
0.025536;0.068617;0.108513
-0.052373;-0.110322;-0.002544
0.030681;0.090831;0.042234
0.102236;-0.063529;0.043882
-0.086520;0.160345;0.043033
0.025005;-0.017235;-0.063855
-0.005286;0.047939;-0.026267
-0.073289;0.010533;-0.116610
-0.121468;0.051889;-0.050849
-0.043266;0.094592;-0.130891
-0.031890;0.044470;-0.113399
-0.045934;-0.007920;-0.099668
0.007366;0.052450;-0.179355
-0.060234;0.029090;0.047946
-0.078275;0.113265;-5.217740E-6
0.001562;-0.033097;-0.034622
-0.021112;0.115069;0.114371
-0.020947;0.022957;0.133370
0.061570;0.156181;0.159015
0.118770;-0.137042;0.073201
0.067240;0.032887;0.057748
0.058591;0.012709;0.092199
-0.157148;-0.032506;-0.040340
-0.101284;0.014489;-0.059028
0.013970;-0.024032;-0.049049
-0.076163;0.006132;-0.028348
-0.067295;0.000602;-0.057874
0.024419;-0.050837;-0.038228
-0.013556;0.122982;-0.028940
-0.129817;-0.160695;-0.055286
-0.020056;0.091325;-0.124568
0.086856;-0.018100;-0.041970
-0.116524;0.013996;-0.110134
-0.160706;0.127011;-0.047450
-0.208489;0.063587;0.032579
-0.122573;0.166197;-0.006328
0.087710;0.134955;0.064797
0.115407;0.221928;0.212337
0.156366;0.086216;0.197946
0.163922;0.086186;0.169653
0.003845;-0.027171;0.044968
-0.186907;-0.015199;0.112083
-0.149592;-0.007079;0.019524
-0.038799;-0.101184;-0.016099
-0.015539;-0.103806;0.015594
-0.040142;-0.081268;0.104021
0.132264;-0.066711;0.018218
0.140711;-0.149740;0.076148
0.123951;-0.146009;-0.103097
0.090707;-0.095990;-0.073382
-0.135280;-0.241822;-0.167838
-0.212425;-0.235360;-0.265871
-0.107668;-0.293492;-0.229729
-0.167926;-0.206550;-0.160319
-0.026263;-0.226191;-0.130042
0.148291;-0.133366;0.032329
0.091848;-0.073825;0.046713
0.120576;-0.221107;0.166150
0.158264;-0.040869;0.068404
0.065177;-0.064218;0.134603
-0.108755;-0.009157;0.112553
-0.133504;0.137484;0.019030
-0.129994;-0.034011;0.094671
-0.085916;0.008344;-0.034628
0.058378;0.131248;0.103221
0.137196;0.021780;0.057034
0.238486;0.089587;-0.019480
0.257736;-0.063132;-0.071978
-0.031371;0.038264;-0.051515
-0.134584;-0.115986;-0.153197
-0.037011;-0.093205;-0.226977
-0.007312;-0.102910;-0.218591
-0.063694;0.031241;-0.025424
0.009722;-0.007347;-0.017429
0.124165;0.153456;0.042338
0.157697;0.068556;0.192264
0.074136;0.112320;0.130898
0.088522;0.065715;0.070295
0.004602;0.054529;0.016235
-0.134730;0.018080;-0.090104
-0.079715;0.016995;-0.181979
0.068863;-0.040333;-0.104861
0.136939;0.066593;-0.028317
0.205882;-0.032359;-0.080455
0.137666;0.059796;0.028990
-0.022277;0.084942;0.084320
-0.041747;0.118337;0.039707
0.111885;0.134290;0.002137
0.100851;0.259638;0.071278
0.170959;0.264216;0.068166
0.242660;0.319563;0.051895
0.091732;0.153499;0.030791
-0.029375;0.301092;0.073243
0.028465;0.135473;-0.072985
-0.065037;0.074036;-0.065301
-0.052861;0.048707;-0.079283
0.003143;0.005290;-0.110873
-0.063517;-0.147826;-0.158873
-0.072721;-0.104787;-0.150811
-0.009173;-0.033981;-0.024625
-0.167005;-0.106561;0.009168
-0.087936;-0.110725;0.036045
0.090438;-0.046356;0.128250
-0.000696;0.007101;0.188810
0.119807;-0.101190;0.054013
0.240756;0.040898;0.020293
0.078043;0.032784;0.028325
-0.081754;0.049262;-0.071270
-0.005060;-0.026611;-0.125788
0.009759;-0.009493;-0.086393
-0.074589;0.015904;0.004834
-0.094949;-0.024751;-0.023032
-0.107333;-0.020063;0.020409
-0.220683;0.009509;0.126993
-0.150147;-0.150197;-0.010966
0.043559;-0.018759;-0.029312
0.140003;-0.056884;0.001344
0.146222;0.061807;-0.036739
0.112135;-0.051629;-0.102310
-0.042058;0.000468;0.044089
-0.083213;0.042550;0.049033
-0.002844;0.030266;0.117508
0.087362;0.001047;0.055032
0.137562;0.087131;0.143391
0.042228;0.021975;0.064607
-0.268032;0.082040;0.074983
-0.278152;-0.038894;0.013623
-0.200243;0.057906;-0.023636
-0.196087;0.057327;0.041392
-0.178570;0.076316;0.079963
-0.011664;0.141654;0.072010
0.027977;0.104090;0.050424
-0.075785;0.051535;-0.017588
-0.032018;0.105029;0.019262
-0.025720;0.011179;-0.019297
-0.182873;0.007229;-0.041060
-0.169849;-0.098002;-0.063086
-0.159949;-0.036688;-0.018528
-0.129634;-0.139651;0.028478
-0.024554;-0.180501;0.007807
0.047044;-0.162469;0.062386
0.084842;-0.257751;0.113786
0.132380;-0.206781;0.033287
0.118477;-0.250009;0.069923
-0.012988;-0.150874;0.061971
-0.091354;-0.179653;0.088318
-0.107211;-0.134280;0.031999
-0.125569;-0.131543;0.030223
